идентификатор ZINC	название	SMILES формула	мол. вес, г/моль	LogP	брутто-формула	число колец	число тяжелых атомов	число гетероатомов	pH	заряд	число доноров H-связи	число акцепторов H-связи	площадь полярной поверхности, кв. А	число вращающихся связей
ZINC000095618449	E435	CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](OCCO)[C@H]1OCCO	434.57	1.965	C22H42O8	1	30	8	Reference	0	3	8	114	19
ZINC000017971067	E968	OC[C@H](O)[C@H](O)CO	122.12	-2.307	C4H10O4	0	8	4	Reference	0	4	4	80	3
ZINC000003781952	Ebastine	CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	469.669	7.218	C32H39NO2	4	35	3	Reference	1	1	2	30	9
ZINC000005117478	Eberconazole	Clc1cc(Cl)c2c(c1)CCc1ccccc1[C@@H]2n1ccnc1	329.23	4.926	C18H14Cl2N2	4	22	4	Reference	0	0	2	17	1
ZINC000003783800	Eberconazole	Clc1cc(Cl)c2c(c1)CCc1ccccc1[C@H]2n1ccnc1	329.23	4.926	C18H14Cl2N2	4	22	4	Reference	0	0	2	17	1
ZINC000003952167	Ebrotidine	NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1	477.435	2.05	C14H17BrN6O2S3	2	26	12	Reference	1	4	5	135	9
ZINC000003779720	Ecabet	CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1CC2	380.506	4.152	C20H28O5S	3	26	6	Reference	-2	0	5	97	3
ZINC000001546844	Ecadotril	CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	385.485	2.985	C21H23NO4S	2	27	6	Reference	0	1	5	72	9
ZINC000100370145	Ecamsule	CC1(C)[C@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)/C2=C/c1ccc(/C=C2/C(=O)[C@@]3(CS(=O)(=O)O)CC[C@H]2C3(C)C)cc1	562.706	4.24	C28H34O8S2	5	38	10						
ZINC000000643055	Econazole	Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	381.69	5.801	C18H15Cl3N2O	3	24	6	Reference	0	0	3	27	6
ZINC000000596881	Econazole	Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	381.69	5.801	C18H15Cl3N2O	3	24	6	Reference	0	0	3	27	6
ZINC000150338708	Ecteinascidin	COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4	761.85	3.413	C39H43N3O11S	10	54	15	Reference	0	4	15	168	3
ZINC000100006441	Edarabone	Cc1cc(=O)n(-c2ccccc2)[nH]1	174.203	1.474	C10H10N2O	2	13	3	Reference	0	1	2	37	1
ZINC000018203737	Edaravone	CC1=NN(c2ccccc2)C(=O)C1	174.203	1.799	C10H10N2O	2	13	3	Reference	0	1	2	37	1
ZINC000014210642	Edarbi	CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	568.542	4.705	C30H24N4O8	6	42	12	Reference	-1	0	11	153	9
ZINC000100053167	Eddp	C/C=C1/N(C)[C@@H](C)CC1(c1ccccc1)c1ccccc1	277.411	4.601	C20H23N	3	21	1	Reference	1	1	0	4	2
ZINC000100053171	Eddp	C/C=C1\N(C)[C@@H](C)CC1(c1ccccc1)c1ccccc1	277.411	4.601	C20H23N	3	21	1	Reference	1	1	0	4	2
ZINC000002504597	Eddp	C/C=C1\N(C)[C@H](C)CC1(c1ccccc1)c1ccccc1	277.411	4.601	C20H23N	3	21	1	Reference	1	1	0	4	2
ZINC000003813088	Edex	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O	354.487	3.475	C20H34O5	1	25	5	Reference	-1	2	5	97	13
ZINC000043200832	Edoxaban	CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1	548.069	1.29	C24H30ClN7O4S	4	37	13	Reference	0	3	8	136	5
ZINC000003956771	Edoxudine	CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O	256.258	-1.26	C11H16N2O5	2	18	7	Reference	0	3	6	104	3
ZINC000000001341	Edrophonium	CC[N+](C)(C)c1cccc(O)c1	166.244	1.979	C10H16NO+	1	12	2	Reference	1	1	1	20	2
ZINC000019364242	Edt	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	292.244	-2.071	C10H16N2O8	0	20	10	Reference	-3	1	9	168	11
ZINC000000002748	Efaroxan	CC[C@@]1(C2=NCCN2)Cc2ccccc2O1	216.284	1.772	C13H16N2O	3	16	3	Reference	1	2	2	35	2
ZINC000001842775	Efaroxan	CC[C@]1(C2=NCCN2)Cc2ccccc2O1	216.284	1.772	C13H16N2O	3	16	3	Reference	1	2	2	35	2
ZINC000000006016	Effexor	COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1	277.408	3.036	C17H27NO2	2	20	3	Reference	1	2	2	33	5
ZINC000000896698	Effexor	COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1	277.408	3.036	C17H27NO2	2	20	3	Reference	1	2	2	33	5
ZINC000000006251	Efinaconazole	C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1	348.397	2.485	C18H22F2N4O	3	25	7	Reference	1	2	4	55	5
ZINC000052971887	Eflornithine	NCCC[C@](N)(C(=O)O)C(F)F	182.17	-0.227	C6H12F2N2O2	0	12	6	Reference	0	2	3	93	5
ZINC000053022902	Eflornithine	NCCC[C@@](N)(C(=O)O)C(F)F	182.17	-0.227	C6H12F2N2O2	0	12	6	Reference	1	2	3	93	5
ZINC000000001342	Efloxate	CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1	324.332	3.402	C19H16O5	3	24	5	Reference	0	0	5	65	5
ZINC000028643021	E-Flupentixol	OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	434.527	4.602	C23H25F3N2OS	4	30	7	Reference	1	2	3	27	5
ZINC000038139973	Efonidipine	CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1	631.666	7.303	C34H38N3O7P	5	45	11	Reference	0	1	9	120	10
ZINC000095493347	Efonidipine	CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1	631.666	7.303	C34H38N3O7P	5	45	11	Reference	0	1	9	120	10
ZINC000002020233	Efv	O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	315.678	4.073	C14H9ClF3NO2	3	21	7	Reference	0	1	2	38	0
ZINC000019132424	E-Guggulsterone	C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	312.453	4.644	C21H28O2	4	23	2	Reference	0	0	2	34	0
ZINC000001530776	Eht0201	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	278.312	0.193	C13H18N4O3	2	20	7	Reference	0	0	7	78	5
ZINC000000391122	(e-Isoeugenol)	C/C=C/c1ccc(O)c(OC)c1	164.204	2.434	C10H12O2	1	12	2	Reference	0	1	2	29	2
ZINC000008217338	Elaidate	CCCCCCCC/C=C/CCCCCCCC(=O)O	282.468	6.109	C18H34O2	0	20	2	Reference	-1	0	2	40	15
ZINC000150588351	Elbasvir	COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C	882.035	8.116	C49H55N9O7	9	65	16						
ZINC000003823475	Eletriptan	CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	382.529	3.821	C22H26N2O2S	4	27	5	Reference	1	2	2	54	6
ZINC000022058301	Eletriptan	C[N+]1([O-])CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	398.528	3.834	C22H26N2O3S	4	28	6	Reference	0	1	3	72	6
ZINC000072267023	Eliglustat	CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2	404.551	3.432	C23H36N2O4	3	29	6	Reference	1	3	4	72	11
ZINC000011677837	Eliquis	COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1	459.506	2.7	C25H25N5O4	5	34	9	Reference	0	1	6	110	5
ZINC000003938704	Ellence	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	543.525	0.001	C27H29NO11	5	39	12	Reference	1	6	11	207	5
ZINC000014879975	Elmiron	O=S(=O)(O)O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O	602.501	-4.811	C10H18O21S4	2	35	25						
ZINC000011679756	Eltrombopag	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O	442.475	4.565	C25H22N4O4	4	33	8	Reference	-2	1	7	121	5
ZINC000014210876	Eluxadoline	COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O	569.662	4.159	C32H35N5O5	4	42	10	Reference	0	3	6	169	11
ZINC000013682481	Elvitegravir	COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C	447.89	4.281	C23H23ClFNO5	3	31	8	Reference	-1	1	6	91	7
ZINC000001530912	Emedastine	CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21	302.422	2.215	C17H26N4O	3	22	5	Reference	1	1	4	34	5
ZINC000027428713	Emend	C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	534.432	4.952	C23H21F7N4O3	4	37	14	Reference	-1	1	5	81	6
ZINC000001481836	Emepronium	CC[N+](C)(C)[C@@H](C)CC(c1ccccc1)c1ccccc1	282.451	4.693	C20H28N+	2	21	1	Reference	1	0	0	0	6
ZINC000001843042	Emepronium	CC[N+](C)(C)[C@H](C)CC(c1ccccc1)c1ccccc1	282.451	4.693	C20H28N+	2	21	1	Reference	1	0	0	0	6
ZINC000003830747	Emetine	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21	480.649	4.943	C29H40N2O4	5	35	6	Reference	2	2	4	57	7
ZINC000000020237	Emla	CCN(CC)CC(=O)Nc1c(C)cccc1C	234.343	2.584	C14H22N2O	1	17	3	Reference	1	2	1	33	5
ZINC000036520252	Empagliflozin	OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O	450.915	1.613	C23H27ClO7	4	31	8	Reference	0	4	7	108	6
ZINC000022056030	Emsam	C#CCN(C)[C@@H](C)Cc1ccccc1	187.286	2.183	C13H17N	1	14	1	Reference	1	1	0	4	4
ZINC000003629271	Emtriva	Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F	247.251	-0.455	C8H10FN3O3S	2	16	8	Reference	0	2	7	90	2
ZINC000003812851	Enalaprilat	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O	348.399	1.126	C18H24N2O5	2	25	7	Reference	-1	1	5	117	8
ZINC000003791297	Enalapril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	376.453	1.605	C20H28N2O5	2	27	7	Reference	-1	1	6	98	9
ZINC000004213101	Encainide	COc1ccc(C(=O)Nc2ccccc2CC[C@@H]2CCCCN2C)cc1	352.478	4.364	C22H28N2O2	3	26	4	Reference	1	2	2	42	6
ZINC000000607849	Encainide	COc1ccc(C(=O)Nc2ccccc2CC[C@H]2CCCCN2C)cc1	352.478	4.364	C22H28N2O2	3	26	4	Reference	1	2	2	42	6
ZINC000068249103	Encorafenib	COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1	540.021	3.908	C22H27ClFN7O4S	3	36	14	Reference	0	3	9	140	9
ZINC000100042076	Endo-Atropine	CN1[C@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2	289.375	1.931	C17H23NO3	3	21	4						
ZINC000022056306	Endoxifen	CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1	373.496	5.36	C25H27NO2	3	28	3	Reference	1	2	2	46	8
ZINC000095618887	Endoxifen	CC/C(=C(/c1ccc(OCCNC)cc1)c1ccc(OS(=O)(=O)O)cc1)c1ccccc1	453.56	4.836	C25H27NO5S	3	32	7						
ZINC000100053654	Endoxifen	CC[C@@H](c1ccccc1)[C@@H](c1ccc(OCCNC)cc1)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	551.636	2.881	C31H37NO8	4	40	9						
ZINC000100053657	Endoxifen	CC[C@@H](c1ccccc1)[C@H](c1ccc(OCCNC)cc1)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	551.636	2.881	C31H37NO8	4	40	9						
ZINC000100053651	Endoxifen	CC[C@H](c1ccccc1)[C@@H](c1ccc(OCCNC)cc1)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	551.636	2.881	C31H37NO8	4	40	9						
ZINC000100053656	Endoxifen	CC[C@H](c1ccccc1)[C@H](c1ccc(OCCNC)cc1)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	551.636	2.881	C31H37NO8	4	40	9						
ZINC000003876186	Enjuvia	C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O	350.436	3.293	C18H22O5S	4	24	6	Reference	-1	0	5	83	2
ZINC000019594549	Enoxacin	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21	320.324	0.663	C15H17FN4O3	3	23	8	Reference	0	1	6	94	3
ZINC000009225358	Enoximone	CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1	248.307	1.964	C12H12N2O2S	2	17	5	Reference	0	2	3	65	3
ZINC000000403567	Enprofylline	CCCn1c(=O)[nH]c(=O)c2[nH]cnc21	194.194	-0.177	C8H10N4O2	2	14	6	Reference	0	2	4	83	2
ZINC000006467621	Ensulizole	O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1	274.301	2.477	C13H10N2O3S	3	19	6	Reference	-1	1	4	85	2
ZINC000003802417	Entereg	C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1	424.541	3.051	C25H32N2O4	3	31	6	Reference	0	3	4	93	8
ZINC000169291448	Enviomycin	N=C1NCC[C@H]([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H](N)[C@H](O)CCN)CNC2=O)N1	685.7	-9.021	C25H43N13O10	2	48	23	Reference	3	16	12	397	10
ZINC000100035525	Enzacamene	Cc1ccc(/C=C2/C(=O)[C@@]3(C)CC[C@H]2C3(C)C)cc1	254.373	4.404	C18H22O	3	19	1						
ZINC000013831141	Enzacamene	Cc1ccc(/C=C2/C(=O)[C@]3(C)CC[C@H]2C3(C)C)cc1	254.373	4.404	C18H22O	3	19	1	Reference	0	0	1	17	1
ZINC000022448097	Eovist	CCOc1ccc(C[C@@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1	527.527	-0.675	C23H33N3O11	1	37	14	Reference	-4	1	13	220	20
ZINC000022851765	Eovist	CCOc1ccc(C[C@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1	527.527	-0.675	C23H33N3O11	1	37	14	Reference	-4	1	13	220	20
ZINC000004474603	Epa	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	302.458	5.993	C20H30O2	0	22	2	Reference	-1	0	2	40	13
ZINC000003785276	Epa-E	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC	330.512	6.471	C22H34O2	0	24	2	Reference	0	0	2	26	14
ZINC000001533688	Epalrestat	CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1	319.407	2.919	C15H13NO3S2	2	21	6	Reference	-1	0	5	60	4
ZINC000001846199	Eperisone	CCc1ccc(C(=O)[C@@H](C)CN2CCCCC2)cc1	259.393	3.554	C17H25NO	2	19	2	Reference	1	1	1	21	5
ZINC000000000250	Eperisone	CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1	259.393	3.554	C17H25NO	2	19	2	Reference	1	1	1	21	5
ZINC000000074836	Ephedrine	CN[C@@H](C)[C@H](O)c1ccccc1	165.236	1.328	C10H15NO	1	12	2	Reference	1	2	1	36	3
ZINC000004215812	Epicriptine	CC[C@@H](C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	577.726	2.521	C32H43N5O5	7	42	10	Reference	1	4	5	119	5
ZINC000014489023	Epidermin	CC(C)(CC#N)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000014489027	Epidermin	CC(C)(CC#N)O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000014489025	Epidermin	CC(C)(CC#N)O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000014489029	Epidermin	CC(C)(CC#N)O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000000006157	Epinastine	NC1=NC[C@@H]2c3ccccc3Cc3ccccc3N12	249.317	2.467	C16H15N3	4	19	3	Reference	1	2	0	40	0
ZINC000001999487	Epinastine	NC1=NC[C@H]2c3ccccc3Cc3ccccc3N12	249.317	2.467	C16H15N3	4	19	3	Reference	1	2	0	40	0
ZINC000040165222	Epinephrine	CNC[C@H](O)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1	359.331	-2.084	C15H21NO9	2	25	10	Reference	0	6	9	176	6
ZINC000000039089	Epinephrine	CNC[C@H](O)c1ccc(O)c(O)c1	183.207	0.351	C9H13NO3	1	13	4	Reference	1	4	3	77	3
ZINC000000057412	Epirizole	COc1cc(C)nc(-n2nc(C)cc2OC)n1	234.259	1.296	C11H14N4O2	2	17	6	Reference	0	0	6	62	3
ZINC000000012346	Epivir	Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	229.261	-0.594	C8H11N3O3S	2	15	7	Reference	0	2	7	90	2
ZINC000003813078	Epoprostenol	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)O)C[C@@H]21	352.471	3.409	C20H32O5	2	25	5	Reference	-1	2	5	89	10
ZINC000100051487	Epoxy-Hexobarbital	CN1C(=O)NC(=O)[C@@](C)([C@]23CCCC[C@@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6						
ZINC000100051482	Epoxy-Hexobarbital	CN1C(=O)NC(=O)[C@](C)([C@]23CCCC[C@@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6						
ZINC000006067254	Epoxy-Hexobarbital	CN1C(=O)NC(=O)[C@@](C)([C@@]23CCCC[C@@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6	Reference	0	1	4	79	1
ZINC000006032030	Epoxy-Hexobarbital	CN1C(=O)NC(=O)[C@](C)([C@@]23CCCC[C@@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6	Reference	0	1	4	79	1
ZINC000022033882	Eprazinone	CCO[C@@H](CN1CCN(C[C@@H](C)C(=O)c2ccccc2)CC1)c1ccccc1	380.532	3.901	C24H32N2O2	3	28	4	Reference	0	0	4	32	9
ZINC000019362722	Eprazinone	CCO[C@@H](CN1CCN(C[C@H](C)C(=O)c2ccccc2)CC1)c1ccccc1	380.532	3.901	C24H32N2O2	3	28	4	Reference	0	0	4	32	9
ZINC000022033872	Eprazinone	CCO[C@H](CN1CCN(C[C@@H](C)C(=O)c2ccccc2)CC1)c1ccccc1	380.532	3.901	C24H32N2O2	3	28	4	Reference	0	0	4	32	9
ZINC000019362721	Eprazinone	CCO[C@H](CN1CCN(C[C@H](C)C(=O)c2ccccc2)CC1)c1ccccc1	380.532	3.901	C24H32N2O2	3	28	4	Reference	0	0	4	32	9
ZINC000004095858	Eprolin	Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2	430.717	8.84	C29H50O2	2	31	2	Reference	0	1	2	29	12
ZINC000029319828	Eprosartan	CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1	424.522	4.744	C23H24N2O4S	3	30	7	Reference	-2	0	7	98	10
ZINC000100003507	Equa	N#C[C@@H]1CCCN1C(=O)CNC12C[C@@H]3C[C@H](CC(O)(C3)C1)C2	303.406	1.174	C17H25N3O2	5	22	5						
ZINC000100003509	Equa	N#C[C@@H]1CCCN1C(=O)CNC12C[C@H]3C[C@@H](CC(O)(C3)C1)C2	303.406	1.174	C17H25N3O2	5	22	5						
ZINC000003976077	Equa	N#C[C@@H]1CCCN1C(=O)CNC12C[C@@H]3C[C@@H](CC(O)(C3)C1)C2	303.406	1.174	C17H25N3O2	5	22	5	Reference	1	2	3	80	3
ZINC000100031739	Equilin	C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O	268.356	3.738	C18H20O2	4	20	2	Reference	0	1	2	37	0
ZINC000005191096	Erdosteine	O=C(O)CSCC(=O)N[C@@H]1CCSC1=O	249.313	-0.047	C8H11NO4S2	1	15	7	Reference	-1	1	6	86	5
ZINC000003824065	Erdosteine	O=C(O)CSCC(=O)N[C@H]1CCSC1=O	249.313	-0.047	C8H11NO4S2	1	15	7	Reference	-1	1	6	86	5
ZINC000003995616	Ergoloid	CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	611.743	2.717	C35H41N5O5	8	45	10	Reference	1	4	5	119	5
ZINC000033359785	Ergoloid	CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](C)N2C1=O	535.645	1.494	C29H37N5O5	7	39	10						
ZINC000053174604	Ergonovine	C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	325.412	1.535	C19H23N3O2	4	24	5	Reference	1	4	2	69	3
ZINC000052955754	Ergotamine	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21	581.673	1.991	C33H35N5O5	8	43	10	Reference	1	4	5	119	4
ZINC000169344691	Eribulin	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@H]3[C@H](C[C@H]4O[C@@H](CC[C@@H]1O2)C[C@@H](C)C4=C)O[C@H](C[C@H](O)CN)[C@@H]3OC	729.908	3.438	C40H59NO11	10	52	12						
ZINC000000058117	Eriodictyol	O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	288.255	2.216	C15H12O6	3	21	6	Reference	0	4	6	107	1
ZINC000068202099	Erismodegib	Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1	485.506	5.822	C26H26F3N3O3	4	35	9	Reference	0	1	5	63	5
ZINC000040899447	Erivedge	CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	421.305	4.711	C19H14Cl2N2O3S	3	27	8	Reference	0	1	4	76	4
ZINC000001546066	Erlotinib	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	393.443	3.405	C22H23N3O4	3	29	7	Reference	0	1	7	74	10
ZINC000003918453	Ertapenem	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12	475.523	0.941	C22H25N3O7S	4	33	11	Reference	-1	3	8	166	7
ZINC000068197809	Ertugliflozin	CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1	436.888	1.356	C22H25ClO7	4	30	8	Reference	0	4	7	108	6
ZINC000085534336	Erythromycin	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	733.937	1.786	C37H67NO13	3	51	14						
ZINC000087496183	Erythromycin	CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C	790.001	2.747	C40H71NO14	3	55	15						
ZINC000000001958	Esbriet	Cc1ccc(=O)n(-c2ccccc2)c1	185.226	2.146	C12H11NO	2	14	2	Reference	0	0	2	22	1
